date,regulation,source,ingested_at,pokemon_name,ability_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Munkidori,frisk,0.16957936617309777
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine,justified,0.14684951665142004
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine,intimidate,14.802165771573677
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine,flashfire,0.0015420028256111218
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rhyperior,solidrock,5.138847107064636
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rhyperior,lightningrod,11.140552339660063
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rhyperior,reckless,0.0004289692792482924
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Enamorus,contrary,11.97672200041695
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Enamorus,cutecharm,1.670265618306132
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Comfey,triage,13.330895556225766
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Comfey,flowerveil,0.2621537143158398
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Comfey,naturalcure,0.0003192729335831923
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Moth,quarkdrive,13.555244512191901
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kilowattrel,competitive,11.028583598027078
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kilowattrel,windpower,0.25888530962686324
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kilowattrel,voltabsorb,0.584893721650305
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ninetales,drought,12.048694883384234
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ninetales,flashfire,0.05063565006926252
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Murkrow,prankster,12.411704045930172
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Murkrow,insomnia,0.013404562478592619
